type,transaction_date,amount,profile,circle,category,subcategory,note,Overspend
expense,2026-08-03,200000,Ndod,HD Family,Transportations,E-Toll & E-Parking,,No
expense,2026-08-03,107850,Devi,HD Family,Housing,Utilities,Cetakan waffle di shopee,No
expense,2026-08-03,80000,Ndod,HD Family,Healths,Check-up,,No
expense,2026-08-02,123000,Ndod,Extended Family,Lifestyle,Meals,,Yes
expense,2026-08-02,119095,Devi,HD Family,Healths,Medicine,Microlax shopee 6pcs,No
expense,2026-08-02,1140000,Ndod,HD Family,Lifestyle,Clothes,,Yes
expense,2026-08-02,40000,Ndod,HD Family,Lifestyle,Laundry,,No
expense,2026-08-02,48000,Devi,HD Family,Lifestyle,Meals,Siomay di pasar Greenlake,No
expense,2026-08-02,30000,Ndod,HD Family,Lifestyle,Meals,,No
expense,2026-08-02,568421,Ndod,HD Family,Transportations,Fuel,,No
transfer,2026-08-01,42500,Ndod,,Main Account,Transfer,❄️ AC Maintenance,No
transfer,2026-08-01,85000,Ndod,,Main Account,Transfer,💇🏻 Haircut Devi,No
expense,2026-08-01,750000,Ndod,HD Family,Housing,ART,,No
transfer,2026-08-01,17000,Ndod,,Main Account,Transfer,👀 Softlens,No
transfer,2026-08-01,450000,Ndod,,Main Account,Transfer,💫 Skin Care,No
transfer,2026-08-01,27500,Ndod,,Main Account,Transfer,🛠️ Motorcycle Service,No
expense,2026-08-01,120546,Ndod,HD Family,Phone,Internet,HP Hendro,No
expense,2026-08-01,416500,Devi,Extended Family,Installments,Wants,TV Mama Devi,No
expense,2026-08-01,500000,Devi,Extended Family,Gifts,Monthly Parents Allowance,Bulanan Mama Devi,No
transfer,2026-08-01,32000,Ndod,,Main Account,Transfer,💄 Makeup,No
expense,2026-08-01,4500000,Ndod,HD Family,Housing,Essentials,Kebutuhan Pokok (All in),No
income,2026-08-01,7200000,Devi,HD Family,Base Salary,Monthly Salary,PT. Alvindo Catur Sentosa,No
income,2026-08-01,16607239,Ndod,HD Family,Base Salary,Monthly Salary,PT. Adicipta Inovasi Teknologi,No
expense,2026-08-01,380000,Ndod,HD Family,Personal Growth,Research,AI Credits,No
expense,2026-08-01,3000000,Ndod,HD Family,Housing,KPR,The Northbend C1,No
transfer,2026-08-01,40000,Ndod,,Main Account,Transfer,📋 Motorcycle Tax,No
expense,2026-08-01,500000,Ndod,HD Family,Gifts,Monthly Parents Allowance,Bulanan Mama Hendro,No
expense,2026-08-01,46500,Ndod,HD Family,Lifestyle,Subscriptions,Netflix,No
expense,2026-08-01,750000,Ndod,HD Family,Healths,Insurance,Sequis Life,No
transfer,2026-08-01,16000,Ndod,,Main Account,Transfer,📗 Passport,No
transfer,2026-08-01,26000,Ndod,,Main Account,Transfer,▶️ Youtube Premium,No
transfer,2026-08-01,5000,Ndod,,Main Account,Transfer,🅰️ SIM A,No
transfer,2026-08-01,4000,Ndod,,Main Account,Transfer,🔢 Motorcycle Lic Plate,No
transfer,2026-08-01,80000,Ndod,,Main Account,Transfer,🅿️ Cash Parking,No
expense,2026-08-01,300000,Ndod,HD Family,Installments,Needs,Filter Torrent,No
expense,2026-08-01,70000,Ndod,HD Family,Gifts,Dana Paramita,Shelter Doggy,No
expense,2026-08-01,58888,Ndod,HD Family,Gifts,Dana Paramita,,No
expense,2026-08-01,927000,Ndod,HD Family,Lifestyle,Clothes,,No
expense,2026-08-01,28215,Ndod,HD Family,Lifestyle,Snacks,,No
expense,2026-08-01,104837,Devi,HD Family,Housing,Utilities,Beli hand body dan toples,No
